                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.87224,                 2.7577,                 1.4419,                      1,                0.66667,                  0.995,                0.85906,                 0.5881,                 3.5153,                 1.3947,                0.00036,                0.00036,                0.00036
                      2,                0.74399,                0.90622,                 1.2892,                0.75101,                0.86197,                0.86666,                0.41858,                 1.3612,                 2.5777,                 2.2931,             0.00073267,             0.00073267,             0.00073267
                      3,                0.78964,                0.76174,                 1.3278,                   0.05,                0.09524,                0.01507,                0.00245,                 4.0662,                 43.338,                 6.1455,              0.0010978,              0.0010978,              0.0010978
                      4,                0.82496,                0.71692,                 1.3625,                0.57895,                0.52381,                0.56874,                 0.4487,                 0.7622,                 18.399,                 1.6812,              0.0014555,              0.0014555,              0.0014555
                      5,                0.81788,                0.68834,                 1.3399,                0.10639,                0.48193,                0.13274,                 0.0944,                 1.2369,                 13.401,                 2.7743,              0.0018056,              0.0018056,              0.0018056
                      6,                0.88206,                0.73809,                 1.3751,                0.60017,                0.38095,                0.42494,                0.26362,                 1.6702,                 4.3749,                 3.2368,               0.001901,               0.001901,               0.001901
                      7,                0.82346,                0.63122,                 1.3346,                0.20221,                0.28571,                0.16859,                0.09265,                 2.3051,                 2.6431,                 2.8026,               0.001901,               0.001901,               0.001901
                      8,                0.76951,                0.57198,                 1.2722,                0.86032,                      1,                0.97028,                0.77248,                0.74698,                 1.1868,                 1.9785,              0.0018812,              0.0018812,              0.0018812
                      9,                0.78191,                 0.5814,                 1.3179,                0.95685,                      1,                  0.995,                0.87535,                0.54008,                0.81238,                 1.4125,              0.0018614,              0.0018614,              0.0018614
                     10,                0.77165,                0.56005,                 1.2996,                0.83671,                0.97648,                0.93756,                0.79264,                0.72099,                 1.3262,                 1.8597,              0.0018416,              0.0018416,              0.0018416
                     11,                0.77667,                 0.5935,                 1.2888,                0.97863,                      1,                  0.995,                0.87187,                0.53792,                0.67952,                 1.3236,              0.0018218,              0.0018218,              0.0018218
                     12,                0.75246,                0.54751,                 1.2683,                0.91611,                0.95238,                0.98914,                0.86729,                0.52071,                0.68059,                 1.2025,               0.001802,               0.001802,               0.001802
                     13,                0.73156,                0.54571,                 1.2567,                0.66454,                0.85714,                0.83185,                0.69926,                 0.7416,                 1.1178,                 1.6253,              0.0017822,              0.0017822,              0.0017822
                     14,                0.76614,                0.57204,                 1.2799,                0.95292,                      1,                  0.995,                0.87798,                 0.5246,                0.56002,                 1.2407,              0.0017624,              0.0017624,              0.0017624
                     15,                0.69871,                0.52753,                 1.2381,                0.99582,                      1,                  0.995,                0.84544,                0.56553,                0.40109,                 1.3605,              0.0017426,              0.0017426,              0.0017426
                     16,                0.69603,                0.51666,                 1.2424,                0.99524,                      1,                  0.995,                0.89008,                0.50688,                0.36996,                 1.1945,              0.0017228,              0.0017228,              0.0017228
                     17,                0.70542,                0.49999,                 1.2254,                0.93416,                      1,                0.99091,                0.89543,                0.50824,                0.43437,                 1.2286,               0.001703,               0.001703,               0.001703
                     18,                0.69305,                0.49488,                 1.2206,                0.88731,                0.95238,                0.97857,                0.84202,                0.53156,                0.56388,                 1.2115,              0.0016832,              0.0016832,              0.0016832
                     19,                0.70894,                0.48674,                 1.2323,                0.99602,                      1,                  0.995,                0.90076,                0.46717,                0.34971,                 1.1606,              0.0016634,              0.0016634,              0.0016634
                     20,                 0.6911,                0.48898,                 1.2181,                      1,                0.98328,                  0.995,                0.88875,                0.57836,                0.57115,                 1.2555,              0.0016436,              0.0016436,              0.0016436
                     21,                0.64706,                0.45596,                 1.1972,                0.98637,                      1,                  0.995,                0.90826,                0.53849,                0.44215,                 1.2431,              0.0016238,              0.0016238,              0.0016238
                     22,                0.65559,                0.43804,                 1.1766,                0.95274,                      1,                  0.995,                0.91547,                 0.4689,                0.43495,                 1.1528,               0.001604,               0.001604,               0.001604
                     23,                0.68401,                0.46387,                 1.2006,                0.99687,                      1,                  0.995,                0.87893,                0.51493,                  0.353,                 1.1871,              0.0015842,              0.0015842,              0.0015842
                     24,                0.67208,                 0.4553,                 1.2044,                0.92674,                      1,                0.99091,                0.85325,                0.75481,                 0.6214,                 1.3934,              0.0015644,              0.0015644,              0.0015644
                     25,                0.65883,                0.44857,                 1.2062,                0.99524,                0.95238,                0.95583,                0.84179,                0.55753,                0.63004,                 1.2328,              0.0015446,              0.0015446,              0.0015446
                     26,                0.65078,                0.45823,                 1.1939,                0.99361,                      1,                  0.995,                0.88449,                0.51667,                0.35389,                 1.1767,              0.0015248,              0.0015248,              0.0015248
                     27,                0.67632,                0.44109,                 1.2103,                0.98874,                      1,                  0.995,                0.91583,                0.41344,                0.40034,                 1.1049,               0.001505,               0.001505,               0.001505
                     28,                 0.6172,                0.40967,                 1.1578,                0.98078,                      1,                  0.995,                 0.9137,                0.40039,                0.38504,                 1.0646,              0.0014852,              0.0014852,              0.0014852
                     29,                0.63036,                0.40404,                  1.175,                0.99741,                      1,                  0.995,                0.90575,                0.43392,                0.28586,                 1.1376,              0.0014654,              0.0014654,              0.0014654
                     30,                0.61411,                0.40237,                 1.1595,                0.99704,                      1,                  0.995,                0.87132,                0.53742,                 0.3783,                 1.2769,              0.0014456,              0.0014456,              0.0014456
                     31,                0.62893,                0.41839,                 1.1624,                0.99556,                      1,                  0.995,                0.92326,                0.39597,                0.31176,                 1.0958,              0.0014258,              0.0014258,              0.0014258
                     32,                0.61359,                0.41261,                 1.1522,                0.99198,                      1,                  0.995,                0.93828,                0.38353,                0.30434,                 1.0509,               0.001406,               0.001406,               0.001406
                     33,                0.60264,                0.41679,                 1.1457,                0.99729,                      1,                  0.995,                0.87897,                0.49788,                 0.3031,                 1.1781,              0.0013862,              0.0013862,              0.0013862
                     34,                0.60417,                0.39676,                 1.1615,                0.99712,                      1,                  0.995,                0.90813,                0.42241,                0.28234,                 1.1396,              0.0013664,              0.0013664,              0.0013664
                     35,                0.61076,                0.40818,                 1.1671,                0.99734,                      1,                  0.995,                0.92395,                0.37676,                0.24571,                  1.035,              0.0013466,              0.0013466,              0.0013466
                     36,                0.61095,                 0.4049,                 1.1603,                0.99706,                      1,                  0.995,                0.94405,                0.36195,                0.25789,                 1.0347,              0.0013268,              0.0013268,              0.0013268
                     37,                0.60507,                0.38832,                 1.1625,                0.99525,                      1,                  0.995,                0.92898,                0.42093,                0.29438,                 1.0789,               0.001307,               0.001307,               0.001307
                     38,                0.59154,                 0.3933,                 1.1483,                0.96794,                      1,                  0.995,                 0.8958,                0.50598,                 0.3289,                 1.2715,              0.0012872,              0.0012872,              0.0012872
                     39,                 0.5967,                0.38925,                 1.1281,                0.99618,                      1,                  0.995,                0.91872,                0.42912,                0.31073,                 1.1443,              0.0012674,              0.0012674,              0.0012674
                     40,                0.58786,                0.38486,                 1.1479,                0.99353,                      1,                  0.995,                0.91436,                0.41878,                0.39957,                 1.0787,              0.0012476,              0.0012476,              0.0012476
                     41,                0.60969,                0.39567,                 1.1562,                0.99314,                      1,                  0.995,                0.94019,                0.38193,                0.27374,                 1.0577,              0.0012278,              0.0012278,              0.0012278
                     42,                 0.6079,                 0.3765,                 1.1416,                0.99709,                      1,                  0.995,                 0.9072,                0.45214,                0.29204,                 1.1077,               0.001208,               0.001208,               0.001208
                     43,                0.59292,                0.39094,                 1.1516,                0.99711,                      1,                  0.995,                0.90885,                0.45249,                0.29521,                 1.0979,              0.0011882,              0.0011882,              0.0011882
                     44,                0.57105,                0.37799,                 1.1194,                0.99609,                      1,                  0.995,                0.92655,                0.39701,                0.27281,                 1.0372,              0.0011684,              0.0011684,              0.0011684
                     45,                0.54938,                0.36256,                 1.1282,                0.99537,                      1,                  0.995,                0.90857,                0.46671,                0.26723,                 1.1316,              0.0011486,              0.0011486,              0.0011486
                     46,                0.58619,                0.37301,                 1.1387,                0.99567,                      1,                  0.995,                0.90541,                0.44466,                0.26471,                 1.0888,              0.0011288,              0.0011288,              0.0011288
                     47,                0.54753,                0.36239,                 1.1156,                0.99713,                      1,                  0.995,                0.92744,                0.40363,                0.25884,                 1.0816,               0.001109,               0.001109,               0.001109
                     48,                0.54666,                0.34952,                 1.0972,                0.99737,                      1,                  0.995,                0.92355,                0.41879,                0.30142,                 1.1018,              0.0010892,              0.0010892,              0.0010892
